rank,name_dic,count,chance
SR,菲娜,82,0.8200
SR,菲娜,58,0.5800
SR,菲娜,1,0.0100
R,希尔妲,343,3.4300
R,希尔妲,33,0.3300
R,希尔妲,2,0.0200
SSR,约兰,24,0.2400
SR,伊娜,79,0.7900
SR,伊娜,68,0.6800
SR,伊娜,2,0.0200
SSR,艾芙琳,35,0.3500
SSR,艾芙琳,2,0.0200
R,海芯六语,338,3.3800
R,海芯六语,45,0.4500
R,海芯六语,1,0.0100
SSR,谦,33,0.3300
SR,春日,65,0.6500
SR,春日,65,0.6500
SR,春日,1,0.0100
R,普蕾西亚,338,3.3800
R,普蕾西亚,48,0.4800
R,普蕾西亚,1,0.0100
SSR,凛音,20,0.200
R,费加罗,345,3.4500
R,费加罗,46,0.4600
R,帝利亚,347,3.4700
R,帝利亚,54,0.5400
R,帝利亚,2,0.0200
SR,依露,68,0.6800
SR,依露,70,0.700
R,十六夜,330,3.300
R,十六夜,45,0.4500
R,十六夜,3,0.0300
SR,飞鸟,73,0.7300
SR,飞鸟,69,0.6900
SR,飞鸟,1,0.0100
SR,莫妮,82,0.8200
SR,莫妮,64,0.6400
SSR,圣姬,29,0.2900
SR,晓,76,0.7600
SR,晓,84,0.8400
R,言叶,332,3.3200
R,言叶,36,0.3600
R,言叶,1,0.0100
R,星洛,342,3.4200
R,星洛,44,0.4400
R,星洛,2,0.0200
SR,祐姬,85,0.8500
SR,祐姬,65,0.6500
SR,祐姬,1,0.0100
SR,周茹冰,92,0.9200
SR,周茹冰,76,0.7600
SR,周茹冰,1,0.0100
R,柠薇,337,3.3700
R,柠薇,46,0.4600
SR,狩,77,0.7700
SR,狩,66,0.6600
SR,狩,1,0.0100
SR,焱,72,0.7200
SR,焱,63,0.6300
R,龙爱理,365,3.6500
R,龙爱理,43,0.4300
R,龙爱理,1,0.0100
R,休·缇奇,342,3.4200
R,休·缇奇,45,0.4500
R,休·缇奇,1,0.0100
SR,瓦莉拉,68,0.6800
SR,瓦莉拉,70,0.700
SR,瓦莉拉,1,0.0100
SSR,路法斯,39,0.3900
SR,丽娅丝,76,0.7600
SR,丽娅丝,68,0.6800
SR,丽娅丝,1,0.0100
R,里见,303,3.0300
R,里见,33,0.3300
R,酷罗蒂,327,3.2700
R,酷罗蒂,34,0.3400
R,酷罗蒂,1,0.0100
SR,安娜,59,0.5900
SR,安娜,68,0.6800
SR,安娜,1,0.0100
SR,艾思,84,0.8400
SR,艾思,60,0.600
SR,艾思,2,0.0200
R,赛丝,363,3.6300
R,赛丝,41,0.4100
SR,蒂利娅,93,0.9300
SR,蒂利娅,70,0.700
R,索米雅,343,3.4300
R,索米雅,43,0.4300
R,索米雅,1,0.0100
SR,幻天姬,68,0.6800
SR,幻天姬,77,0.7700
SR,幻天姬,3,0.0300
SR,克洛托,62,0.6200
SR,克洛托,67,0.6700
SSR,初音未来,26,0.2600
SSR,赫列斯,31,0.3100
SSR,赫列斯,2,0.0200
SSR,洛林,28,0.2800
SSR,洛林,1,0.0100
SSR,狄伊莎,32,0.3200
SSR,狄伊莎,2,0.0200
SR,苏菲娅,83,0.8300
SR,苏菲娅,68,0.6800
SR,苏菲娅,2,0.0200
SSR,露琪亚,30,0.300
SSR,露琪亚,1,0.0100
R,幽魂莉莉,341,3.4100
R,幽魂莉莉,45,0.4500
R,幽魂莉莉,2,0.0200
R,妮娜,363,3.6300
R,妮娜,51,0.5100
R,妮娜,1,0.0100
SSR,拉克西丝,18,0.1800
SSR,拉克西丝,1,0.0100
R,沙叶加,310,3.100
R,沙叶加,28,0.2800
