rank,name_dic,count,chance
SR,菲娜,88,0.8800
SR,菲娜,75,0.7500
SR,菲娜,1,0.0100
R,希尔妲,432,4.3200
R,希尔妲,51,0.5100
R,希尔妲,2,0.0200
SSR,约兰,29,0.2900
SSR,约兰,2,0.0200
SR,伊娜,84,0.8400
SR,伊娜,46,0.4600
SR,伊娜,1,0.0100
SSR,艾芙琳,41,0.4100
SSR,艾芙琳,1,0.0100
R,海芯六语,438,4.3800
R,海芯六语,66,0.6600
R,海芯六语,1,0.0100
SSR,谦,37,0.3700
SSR,谦,2,0.0200
SR,春日,68,0.6800
SR,春日,69,0.6900
SR,春日,1,0.0100
R,普蕾西亚,290,2.900
R,普蕾西亚,39,0.3900
R,普蕾西亚,1,0.0100
SSR,凛音,28,0.2800
SSR,凛音,1,0.0100
R,费加罗,303,3.0300
R,费加罗,31,0.3100
R,帝利亚,297,2.9700
R,帝利亚,38,0.3800
R,帝利亚,1,0.0100
SR,依露,113,1.1300
SR,依露,92,0.9200
SR,依露,2,0.0200
R,十六夜,436,4.3600
R,十六夜,50,0.500
R,十六夜,2,0.0200
SR,飞鸟,64,0.6400
SR,飞鸟,55,0.5500
SR,飞鸟,2,0.0200
SR,莫妮,73,0.7300
SR,莫妮,50,0.500
SR,莫妮,1,0.0100
SSR,圣姬,22,0.2200
SR,晓,118,1.1800
SR,晓,91,0.9100
SR,晓,2,0.0200
R,言叶,301,3.0100
R,言叶,33,0.3300
R,言叶,2,0.0200
R,星洛,445,4.4500
R,星洛,44,0.4400
R,星洛,2,0.0200
SR,祐姬,63,0.6300
SR,祐姬,55,0.5500
SR,周茹冰,70,0.700
SR,周茹冰,42,0.4200
SR,周茹冰,1,0.0100
R,柠薇,292,2.9200
R,柠薇,36,0.3600
SR,狩,74,0.7400
SR,狩,60,0.600
SR,焱,73,0.7300
SR,焱,59,0.5900
R,龙爱理,442,4.4200
R,龙爱理,57,0.5700
R,龙爱理,1,0.0100
R,休·缇奇,301,3.0100
R,休·缇奇,36,0.3600
R,休·缇奇,1,0.0100
SR,瓦莉拉,77,0.7700
SR,瓦莉拉,65,0.6500
SSR,路法斯,24,0.2400
SSR,路法斯,1,0.0100
SR,丽娅丝,76,0.7600
SR,丽娅丝,48,0.4800
R,里见,269,2.6900
R,里见,49,0.4900
R,里见,1,0.0100
R,酷罗蒂,292,2.9200
R,酷罗蒂,31,0.3100
SR,安娜,65,0.6500
SR,安娜,56,0.5600
SR,艾思,103,1.0300
SR,艾思,82,0.8200
SR,艾思,3,0.0300
R,赛丝,440,4.400
R,赛丝,57,0.5700
R,赛丝,1,0.0100
SR,蒂利娅,51,0.5100
SR,蒂利娅,53,0.5300
R,索米雅,323,3.2300
R,索米雅,31,0.3100
SR,幻天姬,74,0.7400
SR,幻天姬,44,0.4400
SR,幻天姬,1,0.0100
SR,克洛托,81,0.8100
SR,克洛托,70,0.700
SR,克洛托,1,0.0100
SSR,初音未来,18,0.1800
SSR,赫列斯,22,0.2200
SSR,赫列斯,2,0.0200
SSR,洛林,20,0.200
SSR,洛林,1,0.0100
SSR,狄伊莎,22,0.2200
SSR,狄伊莎,2,0.0200
SR,苏菲娅,121,1.2100
SR,苏菲娅,82,0.8200
SR,苏菲娅,1,0.0100
SSR,露琪亚,22,0.2200
SSR,露琪亚,2,0.0200
R,幽魂莉莉,273,2.7300
R,幽魂莉莉,37,0.3700
R,幽魂莉莉,4,0.0400
R,妮娜,298,2.9800
R,妮娜,29,0.2900
R,妮娜,1,0.0100
SSR,拉克西丝,21,0.2100
SSR,拉克西丝,2,0.0200
R,沙叶加,291,2.9100
R,沙叶加,32,0.3200
R,沙叶加,1,0.0100
