rank,name_dic,count,chance
SR,菲娜,58,0.5800
SR,菲娜,53,0.5300
R,希尔妲,316,3.1600
R,希尔妲,41,0.4100
R,希尔妲,1,0.0100
SSR,约兰,8,0.0800
SR,伊娜,62,0.6200
SR,伊娜,63,0.6300
SSR,艾芙琳,11,0.1100
SSR,艾芙琳,1,0.0100
R,海芯六语,347,3.4700
R,海芯六语,47,0.4700
R,海芯六语,1,0.0100
SSR,谦,7,0.0700
SR,春日,61,0.6100
SR,春日,61,0.6100
R,普蕾西亚,318,3.1800
R,普蕾西亚,40,0.400
SSR,凛音,7,0.0700
R,费加罗,362,3.6200
R,费加罗,63,0.6300
R,费加罗,3,0.0300
R,帝利亚,351,3.5100
R,帝利亚,39,0.3900
SR,依露,59,0.5900
SR,依露,49,0.4900
R,十六夜,310,3.100
R,十六夜,42,0.4200
R,十六夜,1,0.0100
SR,飞鸟,69,0.6900
SR,飞鸟,47,0.4700
SR,莫妮,59,0.5900
SR,莫妮,41,0.4100
SSR,圣姬,11,0.1100
SR,晓,56,0.5600
SR,晓,48,0.4800
SR,晓,1,0.0100
R,言叶,330,3.300
R,言叶,44,0.4400
R,言叶,3,0.0300
R,星洛,338,3.3800
R,星洛,45,0.4500
R,星洛,1,0.0100
SR,祐姬,59,0.5900
SR,祐姬,59,0.5900
SR,周茹冰,57,0.5700
SR,周茹冰,53,0.5300
R,柠薇,335,3.3500
R,柠薇,37,0.3700
SR,狩,68,0.6800
SR,狩,59,0.5900
SR,焱,465,4.6500
SR,焱,376,3.7600
SR,焱,1,0.0100
R,龙爱理,346,3.4600
R,龙爱理,33,0.3300
R,休·缇奇,341,3.4100
R,休·缇奇,44,0.4400
R,休·缇奇,1,0.0100
SR,瓦莉拉,59,0.5900
SR,瓦莉拉,57,0.5700
SR,瓦莉拉,1,0.0100
SSR,路法斯,244,2.4400
SSR,路法斯,7,0.0700
SR,丽娅丝,62,0.6200
SR,丽娅丝,52,0.5200
R,里见,347,3.4700
R,里见,42,0.4200
R,里见,3,0.0300
R,酷罗蒂,351,3.5100
R,酷罗蒂,41,0.4100
SR,安娜,55,0.5500
SR,安娜,60,0.600
SR,安娜,2,0.0200
SR,艾思,59,0.5900
SR,艾思,46,0.4600
SR,艾思,1,0.0100
R,赛丝,302,3.0200
R,赛丝,44,0.4400
R,赛丝,3,0.0300
SR,蒂利娅,58,0.5800
SR,蒂利娅,50,0.500
SR,蒂利娅,1,0.0100
R,索米雅,344,3.4400
R,索米雅,34,0.3400
SR,幻天姬,52,0.5200
SR,幻天姬,43,0.4300
SR,幻天姬,2,0.0200
SR,克洛托,55,0.5500
SR,克洛托,47,0.4700
SR,克洛托,1,0.0100
SSR,初音未来,5,0.0500
SSR,赫列斯,8,0.0800
SSR,洛林,10,0.100
SSR,狄伊莎,5,0.0500
SSR,狄伊莎,1,0.0100
SR,苏菲娅,69,0.6900
SR,苏菲娅,53,0.5300
SSR,露琪亚,8,0.0800
SSR,露琪亚,1,0.0100
R,幽魂莉莉,326,3.2600
R,幽魂莉莉,28,0.2800
R,妮娜,298,2.9800
R,妮娜,35,0.3500
SSR,拉克西丝,8,0.0800
R,沙叶加,355,3.5500
R,沙叶加,54,0.5400
R,沙叶加,2,0.0200
