rank,name_dic,count,chance
SR,菲娜,66,0.6600
SR,菲娜,49,0.4900
R,希尔妲,307,3.0700
R,希尔妲,39,0.3900
R,希尔妲,1,0.0100
SSR,约兰,12,0.1200
SR,伊娜,63,0.6300
SR,伊娜,59,0.5900
SR,伊娜,1,0.0100
SSR,艾芙琳,9,0.0900
R,海芯六语,353,3.5300
R,海芯六语,39,0.3900
R,海芯六语,1,0.0100
SSR,谦,8,0.0800
SSR,谦,1,0.0100
SR,春日,61,0.6100
SR,春日,56,0.5600
R,普蕾西亚,329,3.2900
R,普蕾西亚,42,0.4200
R,普蕾西亚,4,0.0400
SSR,凛音,6,0.0600
SSR,凛音,1,0.0100
R,费加罗,334,3.3400
R,费加罗,41,0.4100
R,帝利亚,331,3.3100
R,帝利亚,40,0.400
R,帝利亚,1,0.0100
SR,依露,56,0.5600
SR,依露,42,0.4200
R,十六夜,359,3.5900
R,十六夜,39,0.3900
R,十六夜,1,0.0100
SR,飞鸟,52,0.5200
SR,飞鸟,58,0.5800
SR,莫妮,59,0.5900
SR,莫妮,42,0.4200
SSR,圣姬,6,0.0600
SSR,圣姬,1,0.0100
SR,晓,61,0.6100
SR,晓,48,0.4800
SR,晓,2,0.0200
R,言叶,319,3.1900
R,言叶,36,0.3600
R,言叶,1,0.0100
R,星洛,355,3.5500
R,星洛,30,0.300
SR,祐姬,57,0.5700
SR,祐姬,49,0.4900
SR,祐姬,1,0.0100
SR,周茹冰,74,0.7400
SR,周茹冰,59,0.5900
SR,周茹冰,1,0.0100
R,柠薇,332,3.3200
R,柠薇,47,0.4700
SR,狩,47,0.4700
SR,狩,50,0.500
SR,狩,1,0.0100
SR,焱,422,4.2200
SR,焱,373,3.7300
SR,焱,3,0.0300
R,龙爱理,361,3.6100
R,龙爱理,42,0.4200
R,龙爱理,1,0.0100
R,休·缇奇,316,3.1600
R,休·缇奇,35,0.3500
R,休·缇奇,2,0.0200
SR,瓦莉拉,53,0.5300
SR,瓦莉拉,51,0.5100
SR,瓦莉拉,2,0.0200
SSR,路法斯,231,2.3100
SSR,路法斯,8,0.0800
SR,丽娅丝,69,0.6900
SR,丽娅丝,52,0.5200
R,里见,387,3.8700
R,里见,51,0.5100
R,酷罗蒂,360,3.600
R,酷罗蒂,40,0.400
SR,安娜,54,0.5400
SR,安娜,65,0.6500
SR,安娜,2,0.0200
SR,艾思,54,0.5400
SR,艾思,56,0.5600
SR,艾思,1,0.0100
R,赛丝,326,3.2600
R,赛丝,35,0.3500
R,赛丝,1,0.0100
SR,蒂利娅,66,0.6600
SR,蒂利娅,53,0.5300
R,索米雅,310,3.100
R,索米雅,26,0.2600
SR,幻天姬,64,0.6400
SR,幻天姬,50,0.500
SR,幻天姬,1,0.0100
SR,克洛托,65,0.6500
SR,克洛托,59,0.5900
SSR,初音未来,6,0.0600
SSR,初音未来,1,0.0100
SSR,赫列斯,9,0.0900
SSR,洛林,10,0.100
SSR,狄伊莎,11,0.1100
SR,苏菲娅,62,0.6200
SR,苏菲娅,54,0.5400
SR,苏菲娅,1,0.0100
SSR,露琪亚,10,0.100
R,幽魂莉莉,310,3.100
R,幽魂莉莉,44,0.4400
R,妮娜,330,3.300
R,妮娜,38,0.3800
SSR,拉克西丝,8,0.0800
R,沙叶加,368,3.6800
R,沙叶加,52,0.5200
