rank,name_dic,count,chance
SR,菲娜,61,0.6100
SR,菲娜,46,0.4600
R,希尔妲,350,3.500
R,希尔妲,45,0.4500
R,希尔妲,2,0.0200
SSR,约兰,7,0.0700
SSR,约兰,2,0.0200
SR,伊娜,51,0.5100
SR,伊娜,46,0.4600
SR,伊娜,2,0.0200
SSR,艾芙琳,11,0.1100
R,海芯六语,317,3.1700
R,海芯六语,42,0.4200
R,海芯六语,1,0.0100
SSR,谦,7,0.0700
SSR,谦,1,0.0100
SR,春日,67,0.6700
SR,春日,58,0.5800
R,普蕾西亚,333,3.3300
R,普蕾西亚,34,0.3400
R,普蕾西亚,1,0.0100
SSR,凛音,9,0.0900
SSR,凛音,1,0.0100
R,费加罗,317,3.1700
R,费加罗,56,0.5600
R,费加罗,2,0.0200
R,帝利亚,325,3.2500
R,帝利亚,43,0.4300
SR,依露,44,0.4400
SR,依露,58,0.5800
R,十六夜,351,3.5100
R,十六夜,43,0.4300
SR,飞鸟,55,0.5500
SR,飞鸟,51,0.5100
SR,莫妮,55,0.5500
SR,莫妮,44,0.4400
SSR,圣姬,11,0.1100
SSR,圣姬,1,0.0100
SR,晓,62,0.6200
SR,晓,58,0.5800
R,言叶,353,3.5300
R,言叶,56,0.5600
R,星洛,350,3.500
R,星洛,44,0.4400
R,星洛,1,0.0100
SR,祐姬,42,0.4200
SR,祐姬,36,0.3600
SR,周茹冰,45,0.4500
SR,周茹冰,51,0.5100
R,柠薇,324,3.2400
R,柠薇,39,0.3900
R,柠薇,1,0.0100
SR,狩,66,0.6600
SR,狩,47,0.4700
SR,焱,427,4.2700
SR,焱,370,3.700
SR,焱,5,0.0500
R,龙爱理,294,2.9400
R,龙爱理,43,0.4300
R,休·缇奇,348,3.4800
R,休·缇奇,42,0.4200
R,休·缇奇,2,0.0200
SR,瓦莉拉,66,0.6600
SR,瓦莉拉,43,0.4300
SR,瓦莉拉,1,0.0100
SSR,路法斯,259,2.5900
SSR,路法斯,4,0.0400
SR,丽娅丝,55,0.5500
SR,丽娅丝,50,0.500
SR,丽娅丝,1,0.0100
R,里见,355,3.5500
R,里见,39,0.3900
R,酷罗蒂,315,3.1500
R,酷罗蒂,52,0.5200
R,酷罗蒂,1,0.0100
SR,安娜,61,0.6100
SR,安娜,57,0.5700
SR,艾思,72,0.7200
SR,艾思,43,0.4300
SR,艾思,1,0.0100
R,赛丝,347,3.4700
R,赛丝,44,0.4400
SR,蒂利娅,52,0.5200
SR,蒂利娅,55,0.5500
SR,蒂利娅,1,0.0100
R,索米雅,331,3.3100
R,索米雅,33,0.3300
R,索米雅,1,0.0100
SR,幻天姬,51,0.5100
SR,幻天姬,58,0.5800
SR,幻天姬,1,0.0100
SR,克洛托,49,0.4900
SR,克洛托,46,0.4600
SSR,初音未来,9,0.0900
SSR,赫列斯,6,0.0600
SSR,洛林,8,0.0800
SSR,狄伊莎,7,0.0700
SR,苏菲娅,67,0.6700
SR,苏菲娅,58,0.5800
SSR,露琪亚,6,0.0600
R,幽魂莉莉,351,3.5100
R,幽魂莉莉,43,0.4300
R,幽魂莉莉,3,0.0300
R,妮娜,376,3.7600
R,妮娜,48,0.4800
R,妮娜,1,0.0100
SSR,拉克西丝,5,0.0500
R,沙叶加,371,3.7100
R,沙叶加,41,0.4100
