rank,name_dic,count,chance
SR,菲娜,66,0.6600
SR,菲娜,43,0.4300
R,希尔妲,315,3.1500
R,希尔妲,45,0.4500
R,希尔妲,2,0.0200
SSR,约兰,8,0.0800
SSR,约兰,1,0.0100
SR,伊娜,52,0.5200
SR,伊娜,51,0.5100
SSR,艾芙琳,15,0.1500
R,海芯六语,332,3.3200
R,海芯六语,39,0.3900
R,海芯六语,1,0.0100
SSR,谦,7,0.0700
SR,春日,62,0.6200
SR,春日,37,0.3700
SR,春日,1,0.0100
R,普蕾西亚,333,3.3300
R,普蕾西亚,33,0.3300
R,普蕾西亚,1,0.0100
SSR,凛音,10,0.100
R,费加罗,315,3.1500
R,费加罗,42,0.4200
R,费加罗,1,0.0100
R,帝利亚,359,3.5900
R,帝利亚,43,0.4300
SR,依露,65,0.6500
SR,依露,64,0.6400
SR,依露,1,0.0100
R,十六夜,300,3.00
R,十六夜,39,0.3900
R,十六夜,3,0.0300
SR,飞鸟,49,0.4900
SR,飞鸟,60,0.600
SR,莫妮,64,0.6400
SR,莫妮,59,0.5900
SR,莫妮,1,0.0100
SSR,圣姬,10,0.100
SR,晓,64,0.6400
SR,晓,60,0.600
SR,晓,1,0.0100
R,言叶,362,3.6200
R,言叶,44,0.4400
R,言叶,1,0.0100
R,星洛,326,3.2600
R,星洛,38,0.3800
SR,祐姬,57,0.5700
SR,祐姬,38,0.3800
SR,祐姬,1,0.0100
SR,周茹冰,71,0.7100
SR,周茹冰,51,0.5100
SR,周茹冰,1,0.0100
R,柠薇,362,3.6200
R,柠薇,41,0.4100
R,柠薇,2,0.0200
SR,狩,63,0.6300
SR,狩,52,0.5200
SR,狩,2,0.0200
SR,焱,418,4.1800
SR,焱,393,3.9300
SR,焱,5,0.0500
R,龙爱理,321,3.2100
R,龙爱理,49,0.4900
R,龙爱理,1,0.0100
R,休·缇奇,357,3.5700
R,休·缇奇,42,0.4200
SR,瓦莉拉,65,0.6500
SR,瓦莉拉,49,0.4900
SSR,路法斯,228,2.2800
SSR,路法斯,9,0.0900
SR,丽娅丝,47,0.4700
SR,丽娅丝,52,0.5200
R,里见,324,3.2400
R,里见,40,0.400
R,里见,2,0.0200
R,酷罗蒂,344,3.4400
R,酷罗蒂,38,0.3800
R,酷罗蒂,3,0.0300
SR,安娜,65,0.6500
SR,安娜,50,0.500
SR,艾思,53,0.5300
SR,艾思,54,0.5400
SR,艾思,1,0.0100
R,赛丝,340,3.400
R,赛丝,40,0.400
R,赛丝,2,0.0200
SR,蒂利娅,63,0.6300
SR,蒂利娅,49,0.4900
SR,蒂利娅,1,0.0100
R,索米雅,326,3.2600
R,索米雅,48,0.4800
R,索米雅,1,0.0100
SR,幻天姬,61,0.6100
SR,幻天姬,41,0.4100
SR,幻天姬,1,0.0100
SR,克洛托,66,0.6600
SR,克洛托,54,0.5400
SSR,初音未来,10,0.100
SSR,赫列斯,9,0.0900
SSR,洛林,11,0.1100
SSR,狄伊莎,3,0.0300
SR,苏菲娅,71,0.7100
SR,苏菲娅,70,0.700
SSR,露琪亚,3,0.0300
SSR,露琪亚,3,0.0300
R,幽魂莉莉,364,3.6400
R,幽魂莉莉,31,0.3100
R,幽魂莉莉,1,0.0100
R,妮娜,319,3.1900
R,妮娜,48,0.4800
SSR,拉克西丝,10,0.100
SSR,拉克西丝,1,0.0100
R,沙叶加,343,3.4300
R,沙叶加,34,0.3400
